drug,plate_design,type,ecoffinderraw,direct99,direct975,intregSSSSnotRclean
INH,UKMYC6,raw,0.0643,1.6,0.1,0.25
RIF,UKMYC6,raw,,0.5,0.25,0.52
EMB,UKMYC6,raw,2.1063,4,2,3.67
MXF,UKMYC6,raw,0.7359,1,0.5,1.38
LEV,UKMYC6,raw,0.6282,1,1,1.29
KAN,UKMYC6,raw,3.0659,8,4,6.93
AMI,UKMYC6,raw,0.3375,1,0.5,1.55
ETH,UKMYC6,raw,3.0483,4,2,3.96
RFB,UKMYC6,raw,,0.12,0.06,0.09
CFZ,UKMYC6,raw,0.1213,0.25,0.25,0.34
LZD,UKMYC6,raw,0.8123,1,1,1.58
DLM,UKMYC6,raw,0.0102,0.12,0.06,0.11
BDQ,UKMYC6,raw,0.1144,0.25,0.12,0.20
INH,UKMYC5,raw,,0.1,0.05,0.25
RIF,UKMYC5,raw,0.0843,0.25,0.25,0.52
EMB,UKMYC5,raw,3.9638,4,2,3.67
MXF,UKMYC5,raw,0.7453,2,1,1.38
LEV,UKMYC5,raw,0.7240,4,1,1.29
KAN,UKMYC5,raw,2.9162,4,4,6.93
AMI,UKMYC5,raw,0.3117,1,0.5,1.55
ETH,UKMYC5,raw,2.9983,4,4,3.96
RFB,UKMYC5,raw,,0.12,0.06,0.09
CFZ,UKMYC5,raw,0.0782,0.5,0.25,0.34
LZD,UKMYC5,raw,0.9502,1,1,1.58
DLM,UKMYC5,raw,0.0187,0.12,0.06,0.11
BDQ,UKMYC5,raw,0.1107,0.25,0.12,0.20